latitude_old,longitude_old,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree,latitude_future,longitude_future
35.19319673,-97.43866924,35.19319646,-97.43867167,334.2814986,4.539150238,59.09999847,35.1931962,-97.438674
35.19319646,-97.43867167,35.19319618,-97.4386741,334.2806721,4.56769228,69.5,35.1931959,-97.438677
35.19319618,-97.4386741,35.19319586,-97.43867651,334.2796491,4.589532375,77.19999695,35.1931955,-97.438679
35.19319586,-97.43867651,35.19319552,-97.43867896,334.2788515,4.613032341,86.90000153,35.1931951,-97.438681
35.19319552,-97.43867896,35.19319515,-97.43868141,334.277879,4.626884937,98.09999847,35.1931947,-97.438684
35.19319515,-97.43868141,35.19319474,-97.4386839,334.2758602,4.643035412,105.3000031,35.1931943,-97.438686
35.19319474,-97.4386839,35.19319434,-97.43868629,334.2738263,4.652593136,113.8000031,35.1931939,-97.438689
35.19319434,-97.43868629,35.19319387,-97.43868882,334.2712837,4.675506115,123.4000015,35.1931934,-97.438691
35.19319387,-97.43868882,35.19319338,-97.43869129,334.2680428,4.687032223,129.5,35.1931928,-97.438694
35.19319338,-97.43869129,35.19319283,-97.43869382,334.2642486,4.697141647,136.8999939,35.1931885,-97.438697
35.19319283,-97.43869382,35.19318848,-97.43869748,334.1279957,4.707644463,144.6000061,35.1931878,-97.4387
35.19318848,-97.43869748,35.1931878,-97.43869997,334.1261493,4.71774435,152.1999969,35.1931871,-97.438702
35.1931878,-97.43869997,35.19318709,-97.43870239,334.1248211,4.727969646,161.1000061,35.1931863,-97.438705
35.19318709,-97.43870239,35.19318632,-97.43870486,334.1241101,4.733523846,166.8999939,35.1931855,-97.438707
35.19318632,-97.43870486,35.19318551,-97.43870729,334.1245078,4.739018917,174.1000061,35.1931847,-97.43871
35.19318551,-97.43870729,35.19318465,-97.43870972,334.1244375,4.74406147,181.3000031,35.1931838,-97.438712
35.19318465,-97.43870972,35.19318377,-97.43871209,334.124402,4.750002384,187.8999939,35.1931828,-97.438715
35.19318377,-97.43871209,35.19318283,-97.4387145,334.1242895,4.754812717,193.3000031,35.1931818,-97.438717
35.19318283,-97.4387145,35.19318184,-97.43871686,334.1252182,4.756684303,198.1999969,35.1931808,-97.438719
35.19318184,-97.43871686,35.19318079,-97.43871922,334.1266695,4.760365009,202.3999939,35.1931797,-97.438721
35.19318079,-97.43871922,35.19317974,-97.4387215,334.1278802,4.767229557,206.3000031,35.1931786,-97.438724
35.19317974,-97.4387215,35.1931786,-97.43872383,334.129106,4.764378071,209.6000061,35.1931774,-97.438726
