unix_ms,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree
1763595652401,35.19317667344737,-97.43852755952574,335.5047301975253,0.9654672145843506,-96.5
1763595652401,35.19317672381073,-97.43852767797567,335.5044653808355,0.97159743309021,-95.5999984741211
1763595652401,35.19317689816155,-97.43852814802244,335.5052556833612,0.999617338180542,-90.9000015258789
1763595652401,35.19317707770884,-97.43852861498895,335.50601122082264,1.0266056060791016,-85.69999694824219
1763595652401,35.19317727416893,-97.4385291126679,335.50664788479025,1.045810341835022,-81.0999984741211
1763595652401,35.19317747705515,-97.43852961890565,335.50744534918886,1.0737773180007935,-73.5999984741211
1763595652401,35.1931776871522,-97.43853011864255,335.5083987252483,1.0988980531692505,-66.9000015258789
1763595652401,35.193177918505164,-97.43853065998792,335.5089842576249,1.1263647079467773,-59.20000076293945
1763595652401,35.193178141846055,-97.43853119131515,335.50963337292796,1.1506435871124268,-51.5
1763595652401,35.193178368810024,-97.43853172060804,335.51038432530345,1.1747111082077026,-44.099998474121094
1763595652401,35.193178594163044,-97.43853221940893,335.51131228799386,1.1944520473480225,-38.20000076293945
1763595652401,35.19317883520843,-97.43853275338584,335.5120790415036,1.2184545993804932,-31.200000762939453
1763595652401,35.193179095572724,-97.4385333482343,335.5124301712054,1.2449042797088623,-24.600000381469727
1763595652401,35.19317934178329,-97.43853392655514,335.5130299540102,1.270279049873352,-18.5
1763595652401,35.19317957861233,-97.4385345207822,335.51382218306713,1.3007709980010986,-12.399999618530273
1763595652401,35.19317982965345,-97.43853511245987,335.5143236768817,1.325269103050232,-8.399999618530273
1763595652401,35.19318010482115,-97.43853575776888,335.5144692708555,1.3471676111221313,-5.300000190734863
1763595652401,35.19318038506579,-97.43853642241555,335.51559267961227,1.36789870262146,-3.200000047683716
1763595652401,35.19318060916099,-97.43853697943844,335.515783543548,1.380718469619751,-2.0
1763595652401,35.193180880901885,-97.4385376400905,335.5162020720693,1.396248698234558,-1.2999999523162842
1763595653401,35.19317543593279,-97.4385423835928,335.0741765211585,1.4193726778030396,-1.5
1763595653401,35.19317547649874,-97.43854303619253,335.07462184633005,1.4334197044372559,-1.5
1763595653401,35.19317552803011,-97.43854381563781,335.0750965551132,1.453740119934082,-2.0
1763595653401,35.19317558774921,-97.43854459429816,335.0759581230634,1.472354769706726,-2.9000000953674316
1763595653401,35.193175656731945,-97.43854539744821,335.07731373302335,1.4957765340805054,-5.099999904632568
1763595653401,35.19317572782307,-97.43854618442955,335.0787922062926,1.5193217992782593,-10.300000190734863
1763595653401,35.19317579964519,-97.43854699768754,335.080030862958,1.5341053009033203,-17.0
1763595653401,35.19317586629831,-97.43854782776441,335.0805796622408,1.5504493713378906,-25.600000381469727
1763595653401,35.193175933969776,-97.43854863897059,335.08103521478273,1.5638607740402222,-33.400001525878906
1763595653401,35.19317600849932,-97.4385494923247,335.0819220579233,1.5798927545547485,-44.099998474121094
1763595653401,35.19317608887338,-97.43855034477079,335.0825245418299,1.5974578857421875,-57.29999923706055
1763595653401,35.193176168868014,-97.43855115465865,335.0832501636503,1.60943603515625,-67.80000305175781
1763595653401,35.19317626101186,-97.43855200298506,335.0839180653673,1.6179853677749634,-77.4000015258789
1763595653401,35.19317636061958,-97.43855284114024,335.0845286391518,1.6279290914535522,-86.0
1763595653401,35.19317647123756,-97.43855370745935,335.0848526826479,1.6389085054397583,-93.69999694824219
1763595653401,35.1931765850248,-97.43855454719821,335.08547787445485,1.6483020782470703,-99.0999984741211
1763595653401,35.19317671716204,-97.43855542399974,335.0862007612951,1.6623659133911133,-105.19999694824219
1763595653401,35.1931768497052,-97.43855628185337,335.0864503825793,1.680898666381836,-112.4000015258789
1763595653401,35.193176978379206,-97.43855712175264,335.08698254621385,1.695846438407898,-118.0999984741211
1763595653401,35.193177132802965,-97.43855802550472,335.0872315235294,1.7133363485336304,-124.0
1763595653401,35.19317727091296,-97.43855884274568,335.08745332067895,1.7239114046096802,-129.10000610351562
1763595654401,35.193176227905404,-97.43856118944653,334.9850239348558,1.7355334758758545,-135.10000610351562
1763595654401,35.193176353637284,-97.43856210812524,334.98514961948854,1.7446346282958984,-140.0
1763595654401,35.19317648862518,-97.43856302436292,334.98543590175865,1.7540894746780396,-144.0
1763595654401,35.19317663095201,-97.43856393015183,334.9858649708798,1.7599056959152222,-146.0
1763595654401,35.19317678230879,-97.43856485601775,334.986497437381,1.7646368741989136,-147.10000610351562
