Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
4,2.9,32.82455595,-95.30655214,421,,0,0,-0.500000829,-0.1,0,90,0,1024,1024,1024,1024,,4.265092,0.044704,95,8.018,3.026,NE,0.0983488,Calm,
0,3,32.82455598,-95.3065521,421,,0,0,-0.500000829,-0.5,-0.2,89.9,0,1024,1024,1024,1024,,5.249344,0.044704,94,7.921,5.061,NE,0.0983488,Calm,
1,3.1,32.8245559,-95.30655224,421,,0,0,-0.400000663,-1.1,-0.4,89.9,0,1024,1024,1024,1024,,5.249344,0.044704,94,7.921,5.061,NE,0.0983488,Calm,
2,3.2,32.82455587,-95.30655227,422,,0,0,-0.400000663,-1.4,-0.6,89.8,0,1024,1024,1024,1024,,6.233596,0.044704,94,7.921,5.061,NE,0.0983488,Calm,
3,3.3,32.82455592,-95.30655234,422,,0,0,-0.500000829,-0.9,-0.8,89.8,0,1024,1024,1024,1024,,6.233596,0,94,7.921,5.061,NE,0.0983488,Calm,
4,3.4,32.82455592,-95.30655238,422,,0,0,-0.500000829,-0.6,-0.8,89.8,0,1024,1024,1024,1024,,7.217848,0,94,7.921,5.061,NE,0.0983488,Calm,
0,3.5,32.82455587,-95.30655248,422,,0,0,-0.500000829,-0.4,-0.9,89.8,0,1024,1024,1024,1024,,7.217848,0,94,7.921,5.061,NE,0.0983488,Calm,
1,3.6,32.82455588,-95.30655254,422,,0,0,-0.500000829,-0.2,-0.8,89.9,0,1024,1024,1024,1024,,8.530184,0,94,7.921,5.061,NE,0.0983488,Calm,
2,3.7,32.82455589,-95.30655259,422,,0,0,-0.500000829,-0.1,-1,90,0,1024,1024,1024,1024,,8.530184,0,94,7.921,5.061,NE,0.0983488,Calm,
3,3.8,32.82455587,-95.30655271,423,,0,0,-0.500000829,0,-1.7,90,0,1024,1024,1024,1024,,9.514436,0,94,7.921,5.061,NE,0.0983488,Calm,
4,3.9,32.82455586,-95.30655277,423,,0,0,-0.500000829,0,-1.9,89.9,0,1024,1024,1024,1024,,9.514436,0,94,7.921,5.061,NE,0.1966976,Calm,
0,4,32.82455585,-95.30655278,423,,0,0,-0.500000829,-0.3,-1.9,89.9,0,1024,1024,1024,1024,,10.498688,0.044704,94,7.89,5.061,NE,0.1966976,Calm,
1,4.1,32.82455591,-95.30655279,423,,0,0,-0.400000663,-0.3,-2,89.9,0,1024,1024,1024,1024,,10.498688,0,94,7.89,5.061,NE,0.1966976,Calm,
2,4.2,32.8245559,-95.30655279,423,,0,0,-0.400000663,-0.7,-1.6,89.9,0,1024,1024,1024,1024,,10.498688,0,94,7.89,5.061,NE,0.1966976,Calm,
3,4.3,32.82455584,-95.30655277,423,,0,0,-0.400000663,-1.2,-0.9,89.9,0,1024,1024,1024,1024,,11.811024,0.044704,94,7.89,5.061,NE,0.1966976,Calm,
4,4.4,32.82455583,-95.30655277,424,,0,0,-0.400000663,-1.1,-0.8,89.9,0,1024,1024,1024,1024,,11.811024,0.044704,94,7.89,5.061,NE,0.1966976,Calm,
