OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
198,32.82518474,-95.30664372,420,,3.900006465,5.90000978,0.400000663,18.1,-26.9,58.1,7.072493328,1024,1684,1177,1684,,21.32546,762.139132,78,7.541,7.935,NE,4.1977056,Calm
198.1,32.82518893,-95.30663537,420,,3.700006133,6.400010609,0.100000166,24.5,-23.4,58.7,7.392575756,1024,1684,1225,1684,,21.32546,766.404224,78,7.678,7.935,NE,4.1977056,Calm
198.2,32.82519185,-95.3066284,420,,3.100005139,7.000011603,-0.100000166,29.7,-17.7,62.8,7.655729428,1024,1684,1200,1684,,21.32546,769.028896,78,7.678,7.935,NE,4.1977056,Calm
198.3,32.82519429,-95.30662002,420,,2.300003812,7.500012432,-0.70000116,31.8,-15.1,71.5,7.844756269,1024,1684,1210,1684,,21.32546,771.325484,78,7.678,7.935,NE,4.1977056,Calm
198.4,32.82519619,-95.30661086,420,,1.500002486,7.700012764,-1.000001658,32.5,-15.5,80.3,7.844756269,1024,1684,1210,1684,,22.309712,772.965904,78,7.678,7.935,NE,4.1977056,Calm
198.5,32.82519703,-95.3066027,421,,0.900001492,7.800012929,-0.900001492,32,-15.5,88.6,7.851764068,1024,1684,1274,1471,,23.622048,773.293988,78,7.678,7.935,NE,4.1977056,Calm
198.6,32.8251975,-95.30659456,421,,0.100000166,7.900013095,-0.900001492,32,-15.8,98.2,7.900645657,1024,1684,1200,1024,,24.6063,773.622072,78,7.678,7.935,NE,4.1977056,Calm
198.7,32.82519691,-95.30658516,421,,-0.800001326,7.800012929,-1.200001989,30,-20.3,105.6,7.840930948,1024,1684,1143,861,,25.590552,772.309736,78,7.678,7.935,NE,4.1977056,Calm
198.8,32.82519588,-95.30657678,422,,-1.300002155,7.700012764,-0.900001492,24.4,-29.2,108.8,7.808981893,1051,1684,1164,713,,26.902888,770.9974,78,7.678,7.935,NE,4.1977056,Calm
198.9,32.82519451,-95.30656842,422,,-1.800002984,7.700012764,-0.500000829,19.3,-30.9,112.7,7.907604281,1050,1684,1109,1024,,26.902888,769.028896,78,7.678,7.935,NE,4.1977056,Calm
199,32.82519268,-95.3065604,422,,-2.400003978,7.900013095,-0.70000116,20.4,-27.5,113.3,8.256526154,1051,1684,1046,1024,,26.902888,767.060392,78,7.678,7.935,NE,4.1977056,Calm
199.1,32.82519006,-95.30655249,423,,-3.000004973,7.900013095,-0.70000116,20,-29.3,109.9,8.45045747,1028,1684,1099,709,,27.88714,763.779552,78,7.678,7.935,NE,4.1977056,Calm
199.2,32.82518688,-95.30654314,423,,-3.30000547,7.900013095,-0.200000332,15.9,-33.6,110.5,8.561555851,1026,1684,1112,529,,27.88714,760.170628,78,7.678,7.935,NE,4.1977056,Calm
199.3,32.82518379,-95.30653441,423,,-3.700006133,8.000013261,-0.100000166,0.8,-31.7,116.5,8.81420766,1029,1684,1069,840,,27.88714,756.561704,78,7.678,7.859,NE,4.1977056,Calm
199.4,32.8251805,-95.30652596,423,,-3.900006465,8.400013924,-0.300000497,-16.7,-23.4,120.5,9.261224414,1031,1684,1143,686,,28.871392,752.95278,78,7.678,7.859,NE,4.1977056,Calm
