               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12447,            0.057378,            0.028799,            0.035768,             0.07305,            0.010681,           0.0022227,             0.10524,            0.051416,            0.027699,              0.0802,              0.0022,              0.0022
                   1,            0.095246,            0.056942,            0.026847,             0.16457,              0.3413,             0.11433,             0.02564,            0.091101,            0.055211,            0.026291,            0.059455,           0.0044554,           0.0044554
                   2,            0.084014,            0.051333,            0.025987,             0.14165,             0.47069,             0.16601,            0.043693,             0.07478,            0.041973,            0.025755,            0.038665,           0.0066654,           0.0066654
                   3,            0.075222,            0.049451,            0.025558,             0.11469,             0.43088,             0.10915,            0.025066,            0.072535,            0.061114,            0.025801,             0.01783,           0.0088297,           0.0088297
                   4,            0.069232,            0.049679,            0.025202,             0.18637,             0.36875,             0.19973,            0.071705,             0.07249,            0.063643,            0.025481,            0.009604,            0.009604,            0.009604
                   5,            0.063869,            0.047789,             0.02436,             0.28753,             0.71863,             0.35213,             0.12539,            0.053222,            0.045532,            0.025902,            0.009604,            0.009604,            0.009604
                   6,             0.06222,            0.047378,            0.023118,             0.26355,             0.70174,             0.33711,             0.15201,            0.052962,            0.054954,            0.027893,            0.009505,            0.009505,            0.009505
                   7,            0.059591,            0.048092,            0.021721,             0.35836,              0.7734,             0.38735,             0.18014,            0.043582,            0.041045,            0.030598,            0.009406,            0.009406,            0.009406
                   8,            0.057557,            0.046316,            0.020102,             0.30511,             0.74098,             0.40181,             0.18067,             0.04269,            0.041001,            0.031888,            0.009307,            0.009307,            0.009307
                   9,            0.054926,            0.044935,            0.018547,             0.34523,             0.66172,             0.31773,            0.092026,             0.05558,            0.038048,            0.035023,            0.009208,            0.009208,            0.009208
                  10,            0.055627,            0.044986,            0.017903,             0.35837,             0.62058,              0.3854,             0.15793,            0.043443,             0.03773,            0.038174,            0.009109,            0.009109,            0.009109
                  11,            0.054333,            0.044088,            0.016778,             0.40593,             0.68742,             0.40032,             0.16577,            0.046575,            0.035973,            0.038977,             0.00901,             0.00901,             0.00901
                  12,            0.053198,            0.042915,            0.016316,             0.51984,             0.52849,             0.43794,             0.18549,            0.042666,            0.035748,            0.038188,            0.008911,            0.008911,            0.008911
                  13,            0.051131,             0.04324,             0.01547,             0.38753,             0.62565,             0.39433,             0.16596,            0.043713,            0.036909,            0.039333,            0.008812,            0.008812,            0.008812
                  14,            0.052436,            0.044352,            0.014848,             0.44072,             0.58596,             0.41396,             0.17796,            0.042496,             0.03676,            0.038312,            0.008713,            0.008713,            0.008713
                  15,                0.05,            0.042398,            0.014058,             0.36633,             0.65039,             0.38685,             0.15566,            0.043655,            0.036289,            0.039738,            0.008614,            0.008614,            0.008614
                  16,            0.050163,            0.043088,             0.01373,             0.42857,             0.67939,             0.42312,             0.18056,            0.040325,            0.035702,            0.042191,            0.008515,            0.008515,            0.008515
                  17,            0.049005,            0.041471,            0.013107,             0.38322,             0.56981,             0.34488,             0.13586,            0.042846,             0.03649,            0.043658,            0.008416,            0.008416,            0.008416
                  18,            0.048901,            0.042808,            0.013086,             0.42658,             0.60876,             0.39713,             0.17442,            0.040885,            0.035556,            0.042401,            0.008317,            0.008317,            0.008317
                  19,            0.047985,            0.041626,            0.012468,             0.43915,             0.58762,             0.44083,              0.1665,            0.046587,            0.039417,              0.0386,            0.008218,            0.008218,            0.008218
                  20,            0.048133,            0.042639,            0.012761,             0.39511,             0.56748,             0.37111,             0.14636,            0.041748,            0.035442,            0.048508,            0.008119,            0.008119,            0.008119
                  21,            0.047141,            0.039718,            0.011907,             0.47251,             0.57553,             0.43082,             0.17405,            0.041058,            0.037409,             0.04178,             0.00802,             0.00802,             0.00802
                  22,            0.047738,            0.041682,            0.011792,             0.42914,             0.56041,             0.40555,             0.17934,            0.039215,            0.035406,            0.044178,            0.007921,            0.007921,            0.007921
