               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049207,            0.039637,            0.012146,             0.43458,             0.58959,             0.41219,             0.18624,            0.040851,            0.036282,            0.042104,            0.023197,           0.0081971,           0.0081971
                  37,            0.048514,            0.039768,            0.010983,             0.42294,             0.62261,             0.44563,             0.18381,            0.041866,            0.037242,            0.038385,             0.02111,           0.0084102,           0.0084102
                  38,            0.047957,            0.039065,            0.010967,             0.40028,             0.62964,             0.41135,             0.16761,            0.043603,            0.039227,            0.041344,            0.019023,           0.0086229,           0.0086229
                  39,            0.048385,            0.039837,             0.01091,             0.47018,             0.60058,             0.48185,             0.21381,            0.041989,            0.036531,            0.036516,            0.016935,           0.0088352,           0.0088352
                  40,            0.047436,            0.039439,            0.010795,             0.40827,             0.45955,             0.35266,              0.1352,            0.046067,            0.042621,            0.044902,            0.014847,            0.009047,            0.009047
                  41,            0.047089,            0.038595,            0.010653,             0.43139,             0.53689,             0.46996,             0.19778,            0.040176,             0.03951,            0.041251,            0.012758,           0.0092583,           0.0092583
                  42,            0.047081,            0.038198,            0.010141,             0.42521,             0.44359,             0.37356,             0.16778,            0.041298,            0.039539,            0.063829,            0.010669,           0.0094692,           0.0094692
                  43,            0.046246,             0.03882,            0.010151,             0.40568,             0.57476,             0.40997,             0.17793,            0.040617,             0.03827,            0.043628,           0.0095743,           0.0095743,           0.0095743
                  44,            0.045823,            0.039334,           0.0099177,             0.40555,             0.63252,              0.4024,             0.18055,            0.038566,            0.035673,            0.044466,           0.0095743,           0.0095743,           0.0095743
                  45,            0.045487,            0.038355,           0.0098947,             0.45224,             0.58038,             0.45467,             0.20982,            0.041476,            0.037239,            0.043552,           0.0095644,           0.0095644,           0.0095644
                  46,            0.045305,            0.037984,           0.0094522,             0.49119,             0.54744,             0.44553,             0.18758,            0.042832,            0.036802,            0.039153,           0.0095545,           0.0095545,           0.0095545
                  47,            0.045354,            0.038485,           0.0092219,             0.40639,             0.60035,             0.36868,             0.12664,            0.048275,            0.041946,            0.037887,           0.0095446,           0.0095446,           0.0095446
                  48,            0.044736,            0.038202,           0.0095582,             0.39952,             0.58654,             0.40198,             0.17733,            0.040336,            0.037068,            0.040918,           0.0095347,           0.0095347,           0.0095347
                  49,            0.044354,            0.037607,            0.008317,             0.41643,             0.60387,             0.40787,             0.18004,            0.039999,            0.036934,            0.047621,           0.0095248,           0.0095248,           0.0095248
                  50,            0.043497,            0.037052,           0.0082116,             0.47462,             0.52125,             0.39684,             0.17202,            0.039415,             0.03663,            0.050557,           0.0095149,           0.0095149,           0.0095149
                  51,            0.042845,            0.037384,           0.0084574,             0.38371,             0.62952,             0.46857,             0.19554,            0.039226,            0.040533,            0.043755,            0.009505,            0.009505,            0.009505
                  52,            0.042104,            0.036766,           0.0076196,             0.53656,             0.53681,             0.44726,             0.18763,            0.040089,            0.036451,            0.050313,           0.0094951,           0.0094951,           0.0094951
                  53,            0.042942,            0.036793,           0.0077688,             0.44151,             0.58561,             0.41844,              0.1742,            0.038926,            0.036174,            0.048222,           0.0094852,           0.0094852,           0.0094852
                  54,            0.041796,            0.037582,           0.0069579,             0.43057,             0.52785,             0.40078,             0.17215,            0.039197,            0.035998,             0.04685,           0.0094753,           0.0094753,           0.0094753
                  55,             0.04166,             0.03665,           0.0072064,             0.45446,             0.46317,             0.36186,             0.14118,            0.042193,            0.038244,            0.051814,           0.0094654,           0.0094654,           0.0094654
                  56,            0.042258,            0.036857,           0.0072631,              0.3953,             0.53273,             0.38557,             0.16423,            0.040805,            0.036582,            0.053328,           0.0094555,           0.0094555,           0.0094555
                  57,            0.041451,            0.036799,            0.007027,             0.47071,             0.64051,             0.45322,             0.20954,            0.038375,            0.035716,             0.04938,           0.0094456,           0.0094456,           0.0094456
                  58,            0.040782,            0.036408,           0.0066217,             0.50319,               0.582,             0.47962,              0.2227,            0.036663,            0.037395,            0.039632,           0.0094357,           0.0094357,           0.0094357
                  59,            0.041423,            0.036432,           0.0061783,             0.41571,             0.54071,             0.37484,             0.15239,             0.04184,            0.039602,            0.056613,           0.0094258,           0.0094258,           0.0094258
                  60,            0.040859,            0.036566,           0.0061513,             0.42785,             0.49235,             0.35479,             0.15119,            0.040099,            0.038297,            0.057018,           0.0094159,           0.0094159,           0.0094159
                  61,            0.038883,            0.036245,           0.0059798,             0.40049,             0.59437,             0.41767,             0.18567,            0.038194,            0.036482,             0.05432,            0.009406,            0.009406,            0.009406
                  62,             0.04027,            0.035811,           0.0059173,             0.42565,             0.50592,              0.3953,             0.17694,            0.039495,            0.037021,            0.057019,           0.0093961,           0.0093961,           0.0093961
                  63,            0.040256,            0.035363,           0.0056966,             0.43147,             0.47523,             0.38327,             0.16563,            0.041764,            0.037665,            0.059344,           0.0093862,           0.0093862,           0.0093862
                  64,            0.038995,            0.035753,            0.005824,             0.39582,             0.49664,             0.37171,             0.16033,            0.040029,             0.03968,            0.053905,           0.0093763,           0.0093763,           0.0093763
                  65,            0.038653,             0.03507,           0.0052692,             0.46937,             0.67795,             0.47011,             0.22677,            0.036695,            0.034417,            0.046095,           0.0093664,           0.0093664,           0.0093664
                  66,            0.038694,            0.035387,           0.0051161,             0.42524,             0.52474,              0.4014,             0.17308,            0.039185,             0.03677,            0.061539,           0.0093565,           0.0093565,           0.0093565
                  67,            0.038972,            0.036154,           0.0057227,             0.43502,             0.57772,             0.38612,             0.15905,              0.0403,            0.038093,            0.052305,           0.0093466,           0.0093466,           0.0093466
                  68,            0.038768,            0.035613,           0.0054105,             0.44641,             0.52368,              0.3905,             0.17175,            0.038847,            0.036684,            0.053114,           0.0093367,           0.0093367,           0.0093367
                  69,            0.038781,            0.034523,           0.0053002,             0.43918,             0.55217,             0.42435,             0.19666,            0.037828,            0.039352,            0.053369,           0.0093268,           0.0093268,           0.0093268
                  70,            0.038261,             0.03535,           0.0051017,             0.46836,             0.53174,             0.42178,             0.15346,            0.044926,            0.038164,            0.047971,           0.0093169,           0.0093169,           0.0093169
                  71,            0.038094,            0.035358,           0.0049201,             0.41716,              0.5418,             0.41322,             0.16602,            0.043096,            0.038869,            0.052069,            0.009307,            0.009307,            0.009307
                  72,             0.03733,            0.034874,           0.0045436,             0.42758,             0.57738,             0.41992,             0.19758,            0.035977,            0.037127,            0.062379,           0.0092971,           0.0092971,           0.0092971
                  73,            0.037755,            0.034356,           0.0049107,             0.40658,             0.53521,             0.37743,             0.17357,            0.038199,            0.037243,            0.052283,           0.0092872,           0.0092872,           0.0092872
