Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,hobbs,throttlePct,imuTemp,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,rpm.rpm1,rpm.rpm2,rpm.rpm3,rpm.rpm4,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2026-07-09 15:38:33.053,0.3,0.5,115,-0.0,-0.0,-0.0,0.0,-1.2,0.000,-0.1,-0.0,37.5,36.6,-0.072,0.000,0.000,0.000,0.0,00:00:00,0.1,2.9,1,--.--,0,--.--,--.--,0000:32:26,0,0,0,1,1,16.20,-1.00,-15,--.--,100,--.--,--:--:--,1,-16.20,15:38:33,20:38:33,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.01,0.01,0.00,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122944,-121.9985275,10SEG 88624 41081,0.7,1.1,152.4,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,0.3,0.0,-0.0,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,115.5,-1.5,-2.1,0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:34.051,0.3,0.5,115,0.0,0.0,0.0,0.0,1.0,0.000,-0.1,0.0,37.6,36.6,-0.057,0.000,0.000,0.000,0.0,00:00:01,0.0,1.4,1,--.--,0,--.--,--.--,0000:32:26,2,0,0,1,1,16.17,-1.00,-16,--.--,99,--.--,--:--:--,1,-16.17,15:38:34,20:38:34,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122951,-121.9985274,10SEG 88624 41081,0.7,1.1,22.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.3,-0.0,-0.0,2.1,--.--,--.--,--.--,--.--,0.1,-0.0,115.7,-0.9,-2.0,0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:35.051,0.3,0.5,115,-0.0,-0.0,-0.0,0.0,0.7,0.000,-0.1,0.0,37.6,36.6,-0.047,0.000,0.000,0.000,0.0,00:00:02,0.0,0.6,1,--.--,0,--.--,--.--,0000:32:26,26,0,0,1,1,16.17,-1.00,-16,--.--,99,--.--,--:--:--,1,-16.17,15:38:35,20:38:35,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122946,-121.9985278,10SEG 88624 41081,0.7,1.1,330.5,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.2,-0.0,-0.0,0.3,--.--,--.--,--.--,--.--,0.5,-0.0,115.8,1.3,-2.0,0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:36.051,0.2,0.5,115,-0.0,0.0,-0.0,0.0,-0.7,0.000,-0.1,0.0,37.6,36.6,-0.037,0.000,0.000,0.000,0.0,00:00:03,0.0,1.3,1,--.--,0,--.--,--.--,0000:32:26,44,0,0,1,1,16.11,-1.00,-16,--.--,96,--.--,--:--:--,1,-16.11,15:38:36,20:38:36,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122946,-121.9985277,10SEG 88624 41081,0.7,1.1,199.7,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.1,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.2,-0.0,0.0,-0.4,--.--,--.--,--.--,--.--,0.9,-0.0,115.9,3.4,-2.0,0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:37.051,0.3,0.5,116,-0.0,-0.0,0.0,0.0,-0.4,0.000,-0.1,0.0,37.6,36.6,-0.027,0.000,0.000,0.000,0.0,00:00:04,0.0,1.3,1,--.--,0,--.--,--.--,0000:32:26,63,0,0,1,1,16.11,-1.00,-16,--.--,96,--.--,--:--:--,1,-16.11,15:38:37,20:38:37,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122949,-121.9985276,10SEG 88624 41081,0.7,1.1,198.2,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.2,-0.0,0.0,-0.9,--.--,--.--,--.--,--.--,0.4,-0.0,116.0,0.4,-1.9,0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:38.051,0.2,0.4,116,-0.0,-0.0,-0.0,0.0,-1.2,0.000,-0.1,0.0,37.6,36.6,-0.021,0.000,0.000,0.000,0.0,00:00:05,0.0,1.6,1,--.--,0,--.--,--.--,0000:32:26,86,0,0,1,1,16.05,-1.00,-17,--.--,93,--.--,--:--:--,1,-16.05,15:38:38,20:38:38,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122945,-121.9985278,10SEG 88624 41081,0.7,1.1,86.7,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,0.2,-0.0,-0.0,0.1,-0.1,-0.0,0.2,0.0,0.0,-1.4,--.--,--.--,--.--,--.--,-0.4,0.0,116.1,-3.0,-1.6,-0.0,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:39.051,0.2,0.4,116,-0.0,0.0,-0.0,0.0,1.5,0.000,-0.1,0.0,37.6,36.6,-0.025,0.000,0.000,0.000,0.0,00:00:06,0.0,1.6,1,--.--,0,--.--,--.--,0000:32:26,100,0,0,1,1,16.05,-1.00,-17,--.--,93,--.--,--:--:--,1,-16.05,15:38:39,20:38:39,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122946,-121.9985276,10SEG 88624 41081,0.7,1.1,349.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,0.2,-0.0,-0.0,0.1,-0.1,-0.0,0.2,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-1.2,0.0,116.2,-7.0,-1.6,-0.2,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:40.051,0.2,0.4,116,-0.0,-0.0,0.0,0.0,-1.8,0.000,-0.1,0.0,37.6,36.6,-0.029,0.000,0.000,0.000,0.0,00:00:07,0.0,1.8,1,--.--,0,--.--,--.--,0000:32:26,100,0,0,1,1,16.05,-1.00,-17,--.--,93,--.--,--:--:--,1,-16.05,15:38:40,20:38:40,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122947,-121.9985274,10SEG 88624 41081,0.7,1.1,112.7,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,0.2,-0.0,-0.0,0.1,-0.1,-0.0,0.2,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-1.6,0.0,116.2,-8.7,-1.5,-0.6,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:41.051,0.2,0.4,116,-0.0,-0.0,-0.0,0.0,-1.3,0.000,-0.1,0.0,37.6,36.6,-0.038,0.000,0.000,0.000,0.0,00:00:08,0.0,1.1,1,--.--,0,--.--,--.--,0000:32:26,100,0,0,1,1,15.99,-1.00,-17,--.--,90,--.--,--:--:--,1,-15.99,15:38:41,20:38:41,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122947,-121.9985273,10SEG 88624 41081,0.7,1.1,273.9,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.2,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-1.5,0.0,116.2,-8.3,-1.4,-0.5,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2026-07-09 15:38:42.051,0.1,0.3,116,-0.0,-0.0,0.0,0.0,1.4,0.000,-0.1,0.0,37.6,36.6,-0.024,0.000,0.000,0.000,0.0,00:00:09,0.0,1.0,1,--.--,0,--.--,--.--,0000:32:26,100,0,0,1,1,15.99,-1.00,-17,--.--,90,--.--,--:--:--,1,-15.99,15:38:42,20:38:42,7/9/26,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.01,0.01,--.--,--.--,0.15,0.17,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,37.4122946,-121.9985274,10SEG 88624 41081,0.7,1.1,324.9,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,0.2,0.0,-0.0,0.1,-0.1,-0.0,0.2,-0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-1.3,-0.0,116.3,-7.1,-1.3,-0.3,288.15,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
