               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034529,            0.024691,           0.0063133,             0.92867,             0.90535,             0.95473,              0.6079,            0.026645,            0.026218,           0.0046546,            0.005248,            0.005248,            0.005248
                  38,             0.03432,             0.02486,           0.0062008,             0.93826,             0.90822,             0.95743,             0.61652,            0.026147,            0.025985,           0.0036749,            0.005116,            0.005116,            0.005116
                  39,            0.034511,            0.024511,           0.0063463,             0.93703,             0.91295,             0.95864,             0.62052,            0.026302,            0.025856,           0.0035807,            0.004984,            0.004984,            0.004984
                  40,            0.034502,            0.024374,           0.0057626,             0.94124,             0.91524,             0.96013,             0.62551,            0.026056,            0.025795,           0.0036586,            0.004852,            0.004852,            0.004852
                  41,            0.033894,            0.024653,           0.0060845,              0.9238,             0.89851,             0.95343,             0.61148,            0.026218,            0.026153,           0.0043686,             0.00472,             0.00472,             0.00472
                  42,            0.033728,            0.024524,           0.0064178,             0.93604,             0.91373,             0.95922,             0.62384,            0.025655,            0.025844,           0.0037367,            0.004588,            0.004588,            0.004588
                  43,            0.033567,            0.024513,           0.0057214,             0.93965,             0.91782,             0.96182,             0.63035,            0.025086,            0.025528,           0.0028809,            0.004456,            0.004456,            0.004456
                  44,            0.033316,            0.023936,           0.0054328,             0.93842,             0.91974,             0.96303,             0.62799,            0.025572,            0.025563,           0.0032369,            0.004324,            0.004324,            0.004324
                  45,            0.032885,            0.024219,           0.0051734,             0.94419,             0.92345,             0.96582,             0.64002,            0.024646,            0.025273,           0.0031789,            0.004192,            0.004192,            0.004192
                  46,             0.03248,            0.023937,           0.0054375,             0.94438,             0.92146,             0.96602,             0.64076,            0.024706,            0.025192,            0.002932,             0.00406,             0.00406,             0.00406
                  47,            0.032942,            0.024031,           0.0053243,             0.94803,             0.92642,             0.96844,             0.63957,            0.025201,            0.025251,           0.0026499,            0.003928,            0.003928,            0.003928
                  48,             0.03265,            0.024172,           0.0048449,             0.94836,             0.92505,              0.9673,             0.64537,            0.024667,            0.025139,           0.0024907,            0.003796,            0.003796,            0.003796
                  49,            0.032251,             0.02383,           0.0043197,             0.94911,             0.92456,             0.96843,             0.64754,            0.024651,            0.024974,            0.002245,            0.003664,            0.003664,            0.003664
                  50,            0.031926,            0.023582,           0.0045717,             0.95046,             0.92841,             0.96994,             0.65094,            0.024395,            0.024902,           0.0019887,            0.003532,            0.003532,            0.003532
                  51,            0.032235,            0.023611,           0.0047685,             0.95068,             0.93371,             0.97078,             0.65783,            0.024034,             0.02474,           0.0021191,              0.0034,              0.0034,              0.0034
                  52,            0.031495,            0.023681,           0.0042844,             0.95435,             0.93038,             0.97134,              0.6619,            0.023445,            0.024611,           0.0020505,            0.003268,            0.003268,            0.003268
                  53,             0.03175,            0.023671,           0.0040642,             0.95497,             0.93178,             0.97113,             0.65194,            0.023951,            0.024734,           0.0018532,            0.003136,            0.003136,            0.003136
                  54,            0.031667,            0.023601,           0.0038605,               0.954,             0.93376,             0.97188,             0.65929,            0.023602,            0.024616,           0.0020878,            0.003004,            0.003004,            0.003004
                  55,            0.031304,            0.023301,           0.0036368,             0.95584,             0.93502,             0.97227,             0.66606,            0.023283,            0.024403,           0.0017197,            0.002872,            0.002872,            0.002872
                  56,            0.030924,            0.023054,           0.0037036,             0.95706,             0.93533,             0.97387,             0.66716,            0.023124,            0.024411,           0.0018261,             0.00274,             0.00274,             0.00274
                  57,            0.031251,            0.023141,           0.0037872,             0.95935,              0.9385,             0.97536,              0.6684,            0.022975,            0.024258,           0.0013983,            0.002608,            0.002608,            0.002608
                  58,            0.030573,            0.023073,           0.0039319,             0.95914,             0.93819,               0.976,             0.67239,            0.022848,            0.024178,            0.001622,            0.002476,            0.002476,            0.002476
                  59,            0.030134,            0.022724,           0.0033155,             0.96009,             0.94118,             0.97592,             0.67572,            0.022717,            0.024062,             0.00137,            0.002344,            0.002344,            0.002344
                  60,             0.03025,            0.022775,           0.0032258,             0.96348,             0.94099,             0.97683,             0.67854,             0.02239,            0.023967,           0.0013833,            0.002212,            0.002212,            0.002212
                  61,            0.029917,            0.022834,           0.0032573,             0.96487,             0.94078,             0.97773,             0.67851,            0.022357,            0.023852,           0.0012972,             0.00208,             0.00208,             0.00208
                  62,            0.029848,            0.022642,           0.0030871,             0.96423,             0.94177,             0.97807,              0.6807,            0.022311,            0.023836,           0.0012669,            0.001948,            0.001948,            0.001948
                  63,            0.029603,            0.022801,           0.0030541,             0.96446,             0.94167,             0.97758,              0.6815,            0.022226,            0.023795,            0.001365,            0.001816,            0.001816,            0.001816
                  64,            0.029625,            0.022771,           0.0033363,             0.96568,             0.94231,             0.97859,             0.68478,             0.02208,            0.023667,           0.0013128,            0.001684,            0.001684,            0.001684
                  65,            0.029226,            0.022463,           0.0029856,             0.96889,             0.94282,             0.97922,             0.68361,            0.022064,            0.023636,           0.0012022,            0.001552,            0.001552,            0.001552
                  66,            0.029226,            0.022475,           0.0028352,             0.96626,             0.94544,             0.97947,             0.68666,            0.021863,            0.023624,           0.0010636,             0.00142,             0.00142,             0.00142
                  67,             0.02921,            0.022575,            0.002577,             0.96789,             0.94556,             0.97996,             0.69097,            0.021589,            0.023452,           0.0010227,            0.001288,            0.001288,            0.001288
                  68,            0.028804,            0.022193,           0.0026399,             0.97069,               0.945,             0.98017,             0.69183,            0.021561,            0.023348,          0.00091629,            0.001156,            0.001156,            0.001156
                  69,            0.028816,            0.022589,           0.0023193,             0.96915,             0.94754,             0.98039,             0.69479,            0.021305,            0.023317,          0.00095297,            0.001024,            0.001024,            0.001024
                  70,            0.028074,            0.022097,            0.002467,             0.97028,             0.94631,             0.98067,              0.6945,            0.021355,            0.023221,          0.00088272,            0.000892,            0.000892,            0.000892
                  71,            0.028183,            0.022208,           0.0023461,             0.97014,             0.94712,             0.98144,             0.69558,            0.021191,            0.023173,          0.00083314,             0.00076,             0.00076,             0.00076
                  72,            0.027614,            0.021908,           0.0023342,              0.9683,             0.94975,             0.98164,             0.69756,            0.021094,            0.023118,          0.00078919,            0.000628,            0.000628,            0.000628
                  73,            0.027408,            0.021922,           0.0022637,             0.97079,             0.94934,             0.98198,             0.69969,            0.020955,            0.023073,          0.00077551,            0.000496,            0.000496,            0.000496
                  74,            0.026886,            0.021971,           0.0022867,             0.96921,             0.95067,             0.98187,             0.69925,            0.020999,            0.023084,          0.00077693,            0.000364,            0.000364,            0.000364
