time_ms,lat,long,vps_alt,home_dist,x_speed,y_speed,z_speed,h_speed,att_des_yaw,att_act_yaw,att_des_pitch,att_act_pitch,att_des_roll,att_act_roll,bar_alt,bar_pres,bar_cr,bar_temp,gyr_z,gyr_y,gyr_x,imu_z,imu_y,imu_x,RCIN_3,RCIN_8,RCOU_1,RCOU_2,RCOU_3,RCOU_4,RCOU_5,bat_volt,bat_cur,bat_eng-t,bat_cur-t,pwr_v,pwr_v-srv,pwr_flag,battery_charge,battery_voltage,battery_current,vibe_x,vibe_y,vibe_z,windDirection,windSpeed,windStrength
0.0,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.1,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.2,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.3,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.4,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.5,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.6,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.7,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.8,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
0.9,34.52179,-95.83756,-0.0319,0.0000,0.0041,-0.0199,-0.0206,0.0336,133.8480,133.8538,-1.4048,-1.3954,-0.9284,-0.9275,-0.21696,98123.28,0.28214,41.89,-0.0012,-0.0066,-0.0067,-9.6817,-0.1753,-0.3005,1514,1383,1100,1005,1005,1005,1005,49.2964,0.4363,9.5850,193.7160,5.0815,0.0677,3,99,49.2964,0.4363,1.7378,0.9047,1.2417,SE,1.9139,Light
